Name	Position	Preferred foot	Nation	League	Team	Gender
Nawaf Boushal	RB	Right	Saudi Arabia	ROSHN Saudi League	Al Nassr	Male
Ramiro Brazionis	CB	Right	Uruguay	Sudamericana	Danubio	Male
Niko Bretschneider	LB	Left	Germany	3. Liga	Energie Cottbus	Male
Marius Broholm	RW	Left	Norway	Eliteserien	Rosenborg BK	Male
Eamonn Brophy	ST	Right	Scotland	Scottish Prem	Ross County	Male
Arvid Brorsson	CM	Right	Sweden	Allsvenskan	Mjällby AIF	Male
Roman Buess	ST	Left	Switzerland	CSSL	FC Winterthur	Male
Lee Burge	GK	Left	England	EFL League One	Northampton	Male
Jasmin Burić	GK	Right	Bosnia and Herzegovina	PKO BP Ekstraklasa	Zagłębie Lubin	Male
Darragh Burns	RW	Left	Republic of Ireland	SSE Airtricity PD	Shamrock Rovers	Male
Bobby Burns	LB	Left	Northern Ireland	SSE Airtricity PD	Galway United	Male
Jack Burroughs	RB	Right	Scotland	Scottish Prem	Kilmarnock	Male
Liam Burt	LM	Right	Scotland	SSE Airtricity PD	Shelbourne	Male
Callum Burton	GK	Right	England	EFL League One	Wrexham	Male
Evan Bush	GK	Right	United States	MLS	Columbus Crew	Male
Justin Butler	LM	Right	United States	3. Liga	B. Dortmund II	Male
Khalid Butti	CDM	Right	United Arab Emirates	United Emirates League	Al Ain FC	Male
David Button	GK	Right	England	EFL League One	Reading	Male
Nicolás Cabral	CB	Left	Argentina	Sudamericana	Cerro Largo	Male
Sebastián Cabrera	LB	Left	Chile	Sudamericana	Coquimbo Unido	Male
Julio Cabrera	LB	Left	Spain	LALIGA HYPERMOTION	Cádiz CF	Male
Alex Cairns	GK	Left	England	EFL Championship	Leeds United	Male
Ross Callachan	CAM	Right	Scotland	Scottish Prem	Motherwell	Male
Thomas Callens	GK	Left	France	Ligue 2 BKT	FC Annecy	Male
Daniel Camacho	CM	Right	Bolivia	Sudamericana	Universitario	Male
Thibault Campanini	RB	Right	France	Ligue 2 BKT	AC Ajaccio	Male
Chem Campbell	CAM	Right	Wales	EFL League One	Reading	Male
Dean Campbell	CDM	Left	Scotland	EFL League Two	Barrow	Male
Callum Camps	CM	Right	Northern Ireland	EFL League One	Stockport	Male
Dario Čanađija	CM	Right	Croatia	SUPERLIGA	FC Gloria Buzău	Male
Erick Canales	RB	Right	Peru	Sudamericana	Dep. Garcilaso	Male
Niall Canavan	CB	Left	Republic of Ireland	EFL League Two	Barrow	Male
Alan Cantero	CAM	Right	Argentina	Primera División	Barracas Central	Male
Christian Cappis	CM	Left	United States	Eliteserien	Viking FK	Male
Edison Carcelén	CB	Right	Ecuador	Sudamericana	Técnico U.	Male
Cristian Carracedo	LM	Right	Spain	LALIGA HYPERMOTION	Córdoba CF	Male
Maher Carrizo	ST	Left	Argentina	Primera División	Vélez Sarsfield	Male
Scott Carson	GK	Right	England	Premier League	Manchester City	Male
Francesco Cassata	CM	Right	Italy	Serie BKT	Spezia	Male
Thomas Castella	GK	Right	Switzerland	CSSL	Lausanne-Sport	Male
Antonio Castillo	LB	Left	Chile	Libertadores	Huachipato	Male
Denil Castillo	CDM	Right	Ecuador	3F Superliga	FC Midtjylland	Male
Federico Castro	LW	Right	Argentina	Primera División	Ind. Rivadavia	Male
Jesper Ceesay	CM	Right	Gambia	Allsvenskan	IFK Norrköping	Male
Piotr Ceglarz	CAM	Right	Poland	PKO BP Ekstraklasa	Motor Lublin	Male
Mikkel Ceïde	CB	Right	Norway	Eliteserien	Rosenborg BK	Male
Mervan Çelik	LW	Right	Sweden	Allsvenskan	GAIS	Male
Diego Céspedes	CB	Right	Chile	Libertadores	Cobresal	Male
Tarek Chahed	RB	Right	Germany	Bundesliga 2	1. FC Magdeburg	Male
Alfie Chang	CDM	Right	England	EFL League One	Birmingham City	Male
Lucas Chávez	RW	Right	Bolivia	ROSHN Saudi League	Al Taawoun	Male
Chen Binbin	LM	Left	China PR	CSL	Shanghai Port FC	Male
Cheon Seong Hoon	ST	Right	Korea Republic	K League 1	Daejeon	Male
James Chester	CB	Right	Wales	EFL League Two	Salford City	Male
Tio Cipot	CM	Right	Slovenia	Ö. Bundesliga	Grazer AK	Male
Lamine Cissé	LM	Right	France	Ligue 2 BKT	SC Bastia	Male
James Clarke	CAM	Right	Republic of Ireland	SSE Airtricity PD	Bohemians	Male
Brendan Clarke	GK	Right	Republic of Ireland	SSE Airtricity PD	Galway United	Male
Max Cleworth	CB	Right	England	EFL League One	Wrexham	Male
Ethan Coleman	CDM	Right	England	EFL League Two	Gillingham	Male
Nnamdi Collins	CB	Right	Germany	Bundesliga	Frankfurt	Male
Brandon Comley	CDM	Right	Montserrat	EFL League Two	Walsall	Male
Chris Conn-Clarke	CAM	Right	Northern Ireland	EFL League One	Peterborough	Male
Kamil Conteh	CDM	Right	Sierra Leone	EFL League One	Bristol Rovers	Male
Kobe Cools	CB	Right	Belgium	1A Pro League	FCV Dender EH	Male
Jo Coppens	GK	Left	Belgium	1A Pro League	STVV	Male
Romoney Crichlow	CB	Left	England	EFL League One	Peterborough	Male
Ryan Croasdale	CDM	Right	England	EFL League Two	Port Vale	Male
Alexis Cuello	LM	Right	Argentina	Libertadores	San Lorenzo	Male
Santiago Cuiza	RB	Right	Bolivia	Sudamericana	Real Tomayapo	Male
Robbie Cundy	CB	Right	England	EFL League Two	Notts County	Male
Szymon Czyż	CM	Right	Poland	PKO BP Ekstraklasa	Raków	Male
Mateusz Czyżycki	LM	Right	Poland	PKO BP Ekstraklasa	Korona Kielce	Male
Louis D'Arrigo	CDM	Right	Australia	PKO BP Ekstraklasa	Lechia Gdańsk	Male
Diogo Silva	CB	Right	Brazil	CSL	Tianjin JMT FC	Male
Petter Dahl	LW	Right	Norway	1A Pro League	KV Mechelen	Male
Marian Danciu	RM	Right	Romania	SUPERLIGA	Univ. Craiova	Male
Donervon Daniels	CB	Right	Montserrat	EFL League Two	Walsall	Male
Jayden Danns	ST	Right	England	Premier League	Liverpool	Male
Ronan Darcy	CAM	Right	England	EFL League One	Crawley Town	Male
Quentin Daubin	CM	Right	France	Trendyol Süper Lig	Gaziantep	Male
Victor Dávalos	RB	Right	Paraguay	Sudamericana	S. Trinidense	Male
Promise David	ST	Right	Canada	1A Pro League	R. Union St.-G.	Male
Tom Davies	CB	Right	England	EFL League Two	Tranmere Rovers	Male
Filipe de Carvalho	LM	Right	Switzerland	CSSL	GC Zürich	Male
Kaj de Rooij	RM	Right	Holland	Eredivisie	PEC Zwolle	Male
Maxime Delanghe	GK	Right	Belgium	1A Pro League	Cercle Brugge	Male
James Delianov	GK	Right	Australia	A-League	Adelaide United	Male
Vesel Demaku	CM	Right	Austria	Ö. Bundesliga	SCR Altach	Male
Anthony Descotte	ST	Right	Belgium	Eredivisie	FC Utrecht	Male
Thorben Deters	RM	Right	Germany	Bundesliga 2	Preußen Münster	Male
Terry Devlin	CM	Right	Northern Ireland	EFL Championship	Portsmouth	Male
Ibrahim Diabate	ST	Right	Côte d'Ivoire	Allsvenskan	Västerås SK	Male
Lamine Diaby Fadiga	ST	Left	France	PKO BP Ekstraklasa	Jagiellonia	Male
Samba Diallo	LM	Right	Senegal	Ukrayina Liha	Dynamo Kyiv	Male
Ousmane Diao	CB	Right	Senegal	3F Superliga	FC Midtjylland	Male
Moussa Diarra	CB	Right	Mali	LALIGA HYPERMOTION	Málaga CF	Male
Mahamadou Diarra	ST	Right	Mali	Ö. Bundesliga	WSG Tirol	Male
Kandet Diawara	RM	Right	France	Ligue 2 BKT	Pau FC	Male
Andrea Dini	GK	Right	Italy	Serie BKT	Catanzaro	Male
Julius Dirksen	LB	Left	Holland	Eredivisie	Go Ahead Eagles	Male
Armando Dobra	LM	Right	Albania	EFL League Two	Chesterfield	Male
Alin Dobrosavlevici	CB	Right	Romania	SUPERLIGA	FC Gloria Buzău	Male
Owen Dodgson	LB	Left	England	EFL Championship	Burnley	Male
Aaron Donnelly	CB	Left	Northern Ireland	Premier League	Nott'm Forest	Male
Mario Dorgeles	CM	Left	Côte d'Ivoire	3F Superliga	FC Nordsjælland	Male
Maïdine Douane	LM	Right	Algeria	Ligue 2 BKT	Clermont Foot 63	Male
Fodé Doucouré	RB	Right	Mali	Ligue 2 BKT	Red Star FC	Male
Alex Douglas	CB	Left	Sweden	PKO BP Ekstraklasa	Lech Poznań	Male
Tim Drexler	CB	Right	Germany	Bundesliga	TSG Hoffenheim	Male
Duan Liuyu	CAM	Right	China PR	CSL	Qingdao W. Coast	Male
Saxon Earley	LB	Left	England	EFL League One	Lincoln City	Male
Gwion Edwards	RM	Right	Wales	EFL League Two	Morecambe	Male
Earl Edwards Jr.	GK	Right	United States	MLS	New England	Male
Max Ehmer	CB	Right	Germany	EFL League Two	Gillingham	Male
Joachim Eickmayer	CDM	Right	France	Ligue 2 BKT	Red Star FC	Male
Julian Eitschberger	RB	Right	Germany	3. Liga	Rot-Weiss Essen	Male
Emmanuel Ekong	ST	Right	Sweden	Serie A Enilive	Empoli	Male
Issam El Maach	GK	Right	Morocco	Eredivisie	FC Twente	Male
Ayman El Wafi	CB	Right	Morocco	CSSL	FC Lugano	Male
Abu Bekir Ömer El Zein	CM	Right	Germany	Bundesliga 2	1. FC Magdeburg	Male
Zachary Elbouzedi	RM	Right	Republic of Ireland	SSE Airtricity PD	St. Pats	Male
Umeh Emmanuel	LW	Right	Nigeria	CSSL	FC Zürich	Male
Carljohan Eriksson	GK	Right	Finland	Eliteserien	Sarpsborg 08	Male
Dylan Escobar	RB	Right	Chile	Sudamericana	Coquimbo Unido	Male
Bert Esselink	CB	Right	Holland	PKO BP Ekstraklasa	Stal Mielec	Male
Mauro Estol	CM	Right	Uruguay	Sudamericana	Cerro Largo	Male
Jonah Fabisch	CM	Left	Zimbabwe	3. Liga	FC Erzgebirge Aue	Male
Philip Fahrner	RB	Right	Germany	3. Liga	Saarbrücken	Male
Boubacar Fall	GK	Left	Senegal	Ligue 1 McDonald's	AS Saint-Étienne	Male
Oskar Fallenius	RW	Right	Sweden	Allsvenskan	Djurgårdens IF	Male
Alexis Fariña	CAM	Right	Paraguay	Libertadores	Cerro Porteño	Male
Mikayil Faye	CB	Left	Senegal	Ligue 1 McDonald's	Stade Rennais FC	Male
Adrian Fein	CDM	Right	Germany	3. Liga	SV Waldhof	Male
Will Ferry	LB	Left	Republic of Ireland	Scottish Prem	Dundee United	Male
Frank Fielding	GK	Right	England	EFL Championship	Stoke City	Male
Sam Finley	CM	Right	England	EFL League Two	Tranmere Rovers	Male
John Patrick	CAM	Right	Republic of Ireland	LALIGA EA SPORTS	Getafe CF	Male
Steven Fletcher	ST	Left	Scotland	EFL League One	Wrexham	Male
Nicolai Flø	GK	Left	Denmark	3F Superliga	Sønderjyske	Male
Freddy Flórez	CDM	Right	Colombia	Sudamericana	Alianza FC	Male
Riccardo Fogliata	CM	Right	Italy	Serie BKT	Brescia	Male
Anthony Fontana	CAM	Right	United States	Eredivisie	PEC Zwolle	Male
Sander Moen Foss	CB	Right	Norway	Eliteserien	Lillestrøm SK	Male
Ben Fox	CM	Right	England	EFL League One	Northampton	Male
Kobe Franklin	RB	Right	Canada	MLS	Toronto FC	Male
Pierluigi Frattali	GK	Right	Italy	Serie BKT	Frosinone	Male
Marlon Frey	CM	Right	Germany	3. Liga	1860 München	Male
Moritz Fritz	CB	Right	Germany	3. Liga	Viktoria Köln	Male
Alexander Fuchs	CB	Right	Germany	3. Liga	SV Sandhausen	Male
Aidi Fulangxisi	LB	Right	China PR	CSL	Shanghai Shenhua	Male
Loránd Fülöp	LW	Right	Romania	SUPERLIGA	FC Botoșani	Male
Ryan Fulton	GK	Left	Scotland	Scottish Prem	Hearts	Male
Jeff Gal	GK	Right	United States	MLS	Chicago Fire FC	Male
Matías Galarza	CM	Left	Paraguay	Libertadores	Talleres	Male
Thierry Gale	LW	Right	Barbados	Ö. Bundesliga	SK Rapid	Male
Einar Galilea	CB	Left	Spain	LALIGA HYPERMOTION	Málaga CF	Male
Dejan Galjen	ST	Right	Germany	Bundesliga 2	Jahn Regensburg	Male
Scott Galloway	RB	Right	Australia	A-League	Auckland FC	Male
Hugo Gambor	CB	Right	Central African Republic	1A Pro League	KAA Gent	Male
Yimy Gamero	CDM	Right	Peru	Sudamericana	ADT	Male
Mario García	LB	Right	Spain	LALIGA HYPERMOTION	R. Racing Club	Male
Álex Morata	CB	Right	Spain	LALIGA HYPERMOTION	Cádiz CF	Male
Ignacio Gariglio	CB	Right	Argentina	Sudamericana	Delfín SC	Male
Chase Gasper	LB	Left	United States	MLS	Chicago Fire FC	Male
Alec Georgen	RB	Right	France	Ligue 2 BKT	USL Dunkerque	Male
Łukasz Gerstenstein	RM	Right	Poland	PKO BP Ekstraklasa	Śląsk Wrocław	Male
Mark Gevorgyan	RB	Right	Germany	3. Liga	Hannover 96 II	Male
James Gibbons	RB	Right	England	EFL League One	Cambridge Utd	Male
Alex Gilbert	LM	Right	Republic of Ireland	EFL Championship	Middlesbrough	Male
Thomas Gillier	GK	Right	Chile	Sudamericana	Uni. Católica	Male
Jake Girdwood-Reich	CB	Right	Australia	MLS	St. Louis CITY SC	Male
Kevin Goden	RM	Right	Germany	3. Liga	Aleman. Aachen	Male
Gerrit Gohlke	CB	Right	Germany	3. Liga	Arminia Bielefeld	Male
Rafael Fernandes	CB	Right	Portugal	Ligue 1 McDonald's	LOSC Lille	Male
Román Gómez	RB	Right	Argentina	Libertadores	Estudiantes	Male
Jonathan Germán Gómez	LB	Left	Mexico	Hellas Liga	PAOK FC	Male
Yoni Gomis	CB	Right	France	Ligue 1 McDonald's	Strasbourg	Male
Ramiro González	CB	Right	Argentina	Libertadores	Colo-Colo	Male
Omar Gonzalez	CB	Right	United States	MLS	FC Dallas	Male
Enso González	LW	Left	Paraguay	Premier League	Wolves	Male
Matías González	CB	Right	Uruguay	Sudamericana	Danubio	Male
Ethyan	ST	Right	Spain	LALIGA HYPERMOTION	CD Tenerife	Male
Andrei Gorcea	GK	Right	Romania	SUPERLIGA	FC Univ. Cluj	Male
Lewis Gordon	LB	Left	Scotland	EFL League Two	Chesterfield	Male
Minos Gouras	LM	Left	Germany	3. Liga	SV Waldhof	Male
Fernand Goure	ST	Right	Côte d'Ivoire	CSSL	FC Zürich	Male
Lee Grace	CB	Right	Republic of Ireland	SSE Airtricity PD	Shamrock Rovers	Male
Pier Grazziani	GK	Right	Colombia	Sudamericana	Alianza FC	Male
Kosta Grozos	CM	Right	Australia	A-League	Newcastle Jets	Male
Sinan Gümüş	RM	Left	Turkey	Trendyol Süper Lig	Eyüpspor	Male
Julian Günther-Schmidt	CAM	Right	Germany	3. Liga	Saarbrücken	Male
Viktor Gustafson	CDM	Right	Sweden	Allsvenskan	Mjällby AIF	Male
Jesper Gustavsson	CDM	Right	Sweden	Allsvenskan	Mjällby AIF	Male
Frederik Gytkjær	ST	Right	Denmark	3F Superliga	Lyngby BK	Male
Irfan Hadžić	ST	Right	Bosnia and Herzegovina	K League 1	Gangwon FC	Male
Antoine Hainaut	RB	Right	France	Serie A Enilive	Parma	Male
Wojciech Hajda	CAM	Right	Poland	PKO BP Ekstraklasa	Puszcza	Male
Phil Halbauer	LW	Left	Germany	3. Liga	Energie Cottbus	Male
Belal Halbouni	CB	Right	Syria	MLS	Whitecaps FC	Male
Ben Halloran	LM	Right	Australia	A-League	Brisbane Roar	Male
Anas Hamzaoui	LB	Left	Belgium	A-League	Perth Glory	Male
Han Jiaqi	GK	Right	China PR	CSL	Beijing FC	Male
Han Kyo Won	RM	Right	Korea Republic	K League 1	Suwon FC	Male
Han Rongze	GK	Left	China PR	CSL	Cangzhou FC	Male
Brandon Hanlan	ST	Right	England	EFL League One	Wycombe	Male
Mika Hanraths	CB	Right	Germany	3. Liga	Aleman. Aachen	Male
Tomer Haran	GK	Right	Israel	Sudamericana	Cerro Largo	Male
Phil Harres	ST	Right	Germany	Bundesliga	Holstein Kiel	Male
Ellis Harrison	ST	Right	Wales	EFL League Two	MK Dons	Male
Thomas Hasal	GK	Right	Canada	MLS	LAFC	Male
Mike Hauptmeijer	GK	Right	Holland	Eredivisie	PEC Zwolle	Male
Maxime Hautbois	GK	Right	France	Ligue 2 BKT	Laval MFC	Male
Ibe Hautekiet	CB	Right	Belgium	1A Pro League	Standard Liège	Male
Elias Havel	LW	Right	Austria	Ö. Bundesliga	TSV Hartberg	Male
Sanousi Hawsawi	RB	Right	Saudi Arabia	ROSHN Saudi League	Damac FC	Male
He Guan	CB	Right	China PR	CSL	Henan FC	Male
Jaheim Headley	LB	Left	England	EFL League One	Huddersfield	Male
Oscar Hedvall	GK	Left	Denmark	3F Superliga	Viborg FF	Male
Aune Selland Heggebø	ST	Right	Norway	Eliteserien	SK Brann	Male
Ammar Helac	GK	Right	Austria	Ö. Bundesliga	SCR Altach	Male
Regan Hendry	CM	Left	Scotland	EFL League Two	Tranmere Rovers	Male
Éder Hermoza	GK	Right	Peru	Sudamericana	ADT	Male
Felipe Hernandez	CM	Right	United States	MLS	Sporting KC	Male
Nahuel Herrera	CB	Right	Uruguay	Libertadores	Peñarol	Male
Thomas Heward-Belle	GK	Right	Australia	A-League	Western United	Male
Elliott Hewitt	CB	Right	Wales	EFL League One	Mansfield Town	Male
Scott High	CM	Right	Scotland	EFL League One	Huddersfield	Male
Felix Higl	ST	Left	Germany	Bundesliga 2	SSV Ulm 1846	Male
Brad Hills	CB	Right	England	EFL Championship	Norwich	Male
Lukas Hinterseer	ST	Right	Austria	Ö. Bundesliga	WSG Tirol	Male
Andreas Eines Hopmark	CB	Right	Norway	Eliteserien	Kristiansund BK	Male
Tomáš Huk	CB	Right	Slovakia	PKO BP Ekstraklasa	Piast Gliwice	Male
Cameron Humphreys	CDM	Left	England	EFL League One	Wycombe	Male
Rob Hunt	RB	Right	England	EFL League Two	Colchester	Male
Elias Huth	ST	Right	Germany	Bundesliga 2	Jahn Regensburg	Male
Alex Iacovitti	CB	Left	Scotland	Scottish Prem	St. Mirren	Male
Lukas Ibertsberger	LB	Left	Austria	Ö. Bundesliga	Blau-Weiss Linz	Male
Buhari Ibrahim	CB	Right	Nigeria	Allsvenskan	IF Elfsborg	Male
Uche Ikpeazu	ST	Right	Uganda	Scottish Prem	St. Johnstone	Male
Mitja Ilenič	RB	Right	Slovenia	MLS	New York City FC	Male
Florin Ilie	CB	Left	Romania	SUPERLIGA	Politehnica Iași	Male
Kristall Máni Ingason	CAM	Right	Iceland	3F Superliga	Sønderjyske	Male
Alain Ipiélé	LW	Right	Congo	Ligue 2 BKT	FC Martigues	Male
Zidane Iqbal	CM	Right	Iraq	Eredivisie	FC Utrecht	Male
Rubén Iranzo	CB	Right	Spain	LALIGA EA SPORTS	Valencia CF	Male
Alexandru Ișfan	RM	Left	Romania	SUPERLIGA	FC Gloria Buzău	Male
Harry Isted	GK	Right	England	EFL League One	Burton Albion	Male
Mohammed Jahfali	CB	Right	Saudi Arabia	ROSHN Saudi League	Al Kholood	Male
Maudo Lamine Jarjué	CB	Right	Gambia	Eliteserien	Sandefjord	Male
Will Jarvis	LM	Right	England	EFL Championship	Hull City	Male
Dany Jean	LM	Right	Haiti	Ligue 2 BKT	Rodez AF	Male
Malcolm Jeng	CB	Left	Sweden	Allsvenskan	IK Sirius	Male
Jekob Abiezer Jeno	CDM	Left	France	Ligue 2 BKT	Grenoble Foot 38	Male
Jeong Dong Ho	LB	Right	Korea Republic	K League 1	Suwon FC	Male
Herman Johansson	RB	Right	Sweden	Allsvenskan	Mjällby AIF	Male
Ryan Johansson	RM	Right	Republic of Ireland	3. Liga	Wehen Wiesbaden	Male
Kelvin John	RM	Right	Tanzania	3F Superliga	AaB	Male
Dan Jones	CB	Left	England	EFL League Two	Port Vale	Male
Thomas Jørgensen	CM	Left	Denmark	3F Superliga	Viborg FF	Male
Miloš Jovičić	CB	Right	Serbia	Ö. Bundesliga	Grazer AK	Male
Fernando Juárez	CM	Right	Argentina	Primera División	Platense	Male
Sam Junqua	LB	Left	United States	MLS	FC Dallas	Male
Elias Kachunga	CAM	Right	Congo DR	EFL League One	Cambridge Utd	Male
Dimitrije Kamenović	LB	Left	Serbia	CSSL	Yverdon Sport FC	Male
Patrick Kammerbauer	CM	Right	Germany	3. Liga	SC Verl	Male
Daniel Kanu	ST	Right	Sierra Leone	EFL League One	Charlton Ath	Male
Augustus Kargbo	ST	Right	Sierra Leone	Serie BKT	Cesena	Male
Thomas Kastanaras	ST	Right	Germany	Bundesliga	VfB Stuttgart	Male
Bálint Katona	CAM	Right	Hungary	Magyar Liga	Ferencvárosi TC	Male
Bryang Kayo	CM	Right	United States	3. Liga	VfL Osnabrück	Male
Emilio Kehrer	ST	Right	Germany	Eredivisie	Willem II	Male
Johnny Kenny	ST	Right	Republic of Ireland	SSE Airtricity PD	Shamrock Rovers	Male
Sebastian Kerk	CAM	Left	Germany	PKO BP Ekstraklasa	Widzew Łódź	Male
Alan Kerouedan	RW	Right	France	Ligue 2 BKT	Grenoble Foot 38	Male
Awadh Khamis	LB	Right	Saudi Arabia	ROSHN Saudi League	Al Okhdood	Male
Saidou Khan	CDM	Right	Gambia	EFL League Two	Tranmere Rovers	Male
Kim Jong Woo	CM	Right	Korea Republic	K League 1	Pohang Steelers	Male
Kim Jun Yub	RB	Right	Korea Republic	K League 1	Incheon United	Male
Kim Seung Dae	ST	Right	Korea Republic	K League 1	Daejeon	Male
Kim Ju Kong	CM	Right	Korea Republic	K League 1	Jeju United	Male
Kim Tae Hwan	RB	Right	Korea Republic	K League 1	Jeju United	Male
Joel King	LB	Left	Australia	A-League	Sydney FC	Male
Ryan Kitto	LB	Left	Australia	A-League	Adelaide United	Male
Jeppe Kjær	CAM	Left	Denmark	Eliteserien	Fredrikstad FK	Male
Kristoffer Klaesson	GK	Left	Norway	PKO BP Ekstraklasa	Raków	Male
Bartłomiej Kłudka	RB	Right	Poland	PKO BP Ekstraklasa	Zagłębie Lubin	Male
Marco Knaller	GK	Right	Austria	Ö. Bundesliga	Austria Klagenfurt	Male
Tobias Knost	RB	Right	Kenya	3. Liga	SC Verl	Male
Kyle Knoyle	RB	Right	England	EFL League One	Stockport	Male
Olaf Kobacki	LM	Right	Poland	EFL Championship	Sheffield Wed	Male
Raphael Kofler	CDM	Right	Italy	Serie BKT	Südtirol	Male
Ali Koiki	LB	Left	England	EFL League One	Northampton	Male
Thomas Kok	CB	Right	Holland	Bundesliga 2	Preußen Münster	Male
Apostolos Konstantopoulos	CB	Right	Greece	1A Pro League	K. Beerschot VA	Male
Filip Koperski	RB	Right	Poland	PKO BP Ekstraklasa	Lechia Gdańsk	Male
Meriton Korenica	RW	Right	Kosovo	SUPERLIGA	CFR 1907 Cluj	Male
Michalis Kosidis	ST	Right	Greece	PKO BP Ekstraklasa	Puszcza	Male
Tihomir Kostadinov	CAM	Right	North Macedonia	PKO BP Ekstraklasa	Piast Gliwice	Male
Rachid Kouda	CM	Right	Italy	Serie BKT	Spezia	Male
Johnny Koutroumbis	RB	Right	Australia	Scottish Prem	Motherwell	Male
Ilias Koutsoupias	CM	Right	Greece	Serie BKT	Catanzaro	Male
Antoni Kozubal	CM	Right	Poland	PKO BP Ekstraklasa	Lech Poznań	Male
Anders Kristiansen	GK	Right	Norway	Allsvenskan	IFK Göteborg	Male
Kamil Kruk	CB	Right	Poland	PKO BP Ekstraklasa	Motor Lublin	Male
David Kruse	CM	Right	Denmark	Allsvenskan	IFK Göteborg	Male
Sergiy Krykun	LM	Right	Ukraine	PKO BP Ekstraklasa	Stal Mielec	Male
Krzysztof Kubica	CDM	Right	Poland	PKO BP Ekstraklasa	Motor Lublin	Male
William Kurtović	CM	Left	Sweden	Eliteserien	HamKam Fotball	Male
Giorgi Kvernadze	LW	Right	Georgia	Serie BKT	Frosinone	Male
Youness Lachhab	CDM	Left	Morocco	LALIGA HYPERMOTION	CD Eldense	Male
Justin Lacombe	GK	Right	France	Ligue 1 McDonald's	Toulouse FC	Male
Qasem Lajami	CB	Right	Saudi Arabia	ROSHN Saudi League	Al Qadisiyah	Male
Michael Lallemand	ST	Right	Belgium	1A Pro League	FCV Dender EH	Male
Mathis Lambourde	RM	Left	France	Ligue 1 McDonald's	Stade Rennais FC	Male
Ricki Lamie	CB	Left	Scotland	Scottish Prem	Ross County	Male
Jack Lankester	CAM	Left	England	EFL League Two	Crewe Alexandra	Male
Gaëtan Laura	ST	Right	France	Trendyol Süper Lig	Samsunspor	Male
Sam Lavelle	CB	Right	Scotland	EFL League Two	Carlisle United	Male
Joshua Laws	CB	Left	Australia	CSSL	GC Zürich	Male
Ryan Leak	CB	Left	Wales	Scottish Prem	Ross County	Male
Alan Ledesma	CB	Right	Argentina	Sudamericana	Sportivo Luqueño	Male
Lee Sang Min	CDM	Right	Korea Republic	K League 1	Gimcheon Sangmu	Male
Lee Chan Dong	CM	Right	Korea Republic	K League 1	Daegu FC	Male
Lee Eu Ddeum	LB	Left	Korea Republic	K League 1	GwangJu FC	Male
Lee You Hyeon	RB	Right	Korea Republic	K League 1	Gangwon FC	Male
Lee Sang Ki	RB	Right	Korea Republic	K League 1	GwangJu FC	Male
Lee Bum Soo	GK	Right	Korea Republic	K League 1	Incheon United	Male
Lee Jung Taek	CB	Right	Korea Republic	K League 1	Daejeon	Male
Lee Young Jun	ST	Right	Korea Republic	CSSL	GC Zürich	Male
Stav Lemkin	CB	Right	Israel	Ukrayina Liha	Shakhtar Donetsk	Male
Maicol León	CM	Right	Chile	Libertadores	Huachipato	Male
Dean Lewington	CB	Left	England	EFL League Two	MK Dons	Male
Li Songyi	CB	Right	China PR	CSL	Henan FC	Male
Lin Liangming	LW	Right	China PR	CSL	Beijing FC	Male
Lucas Lissens	CB	Right	Belgium	3F Superliga	Lyngby BK	Male
Marcin Listkowski	CM	Right	Poland	PKO BP Ekstraklasa	Jagiellonia	Male
Liu Wei	CB	Right	China PR	CSL	Nantong Zhiyun FC	Male
Lex-Tyger Lobinger	ST	Right	Germany	3. Liga	Viktoria Köln	Male
Klaidi Lolos	CAM	Right	Greece	EFL League One	Bolton	Male
Irvyn Lomami	RB	Right	France	Ligue 1 McDonald's	OL	Male
Ariel López	CDM	Right	Uruguay	SUPERLIGA	Unirea Slobozia	Male
Erik López	ST	Right	Paraguay	Sudamericana	Olimpia	Male
Luis López	GK	Right	Spain	LALIGA HYPERMOTION	CD Mirandés	Male
Leonardo Loria	GK	Right	Italy	Serie BKT	Pisa	Male
Tomasz Loska	GK	Right	Poland	PKO BP Ekstraklasa	Śląsk Wrocław	Male
Andreas Lukse	GK	Right	Austria	Ö. Bundesliga	Blau-Weiss Linz	Male
Luo Senwen	CM	Right	China PR	CSL	Wuhan Three Towns	Male
Ismet Lushaku	CM	Right	Kosovo	Allsvenskan	IFK Norrköping	Male
Ridwane M'Barki	LM	Right	Belgium	1A Pro League	FCV Dender EH	Male
Ma Zhen	GK	Right	China PR	CSL	Shanghai Shenhua	Male
Aimé Mabika	CB	Right	Zambia	MLS	Toronto FC	Male
Alex MacDonald	RM	Right	Scotland	EFL League One	Rotherham Utd	Male
Roman Macek	CM	Right	Czech Republic	CSSL	FC Lugano	Male
Craig MacGillivray	GK	Right	Scotland	EFL League Two	MK Dons	Male
