Name	Position	Preferred foot	Nation	League	Team	Gender
Álvaro Valles	GK	Right	Spain	LALIGA EA SPORTS	UD Las Palmas	Male
Lucas Vázquez	RB	Right	Spain	LALIGA EA SPORTS	Real Madrid	Male
Joey Veerman	CM	Right	Holland	Eredivisie	PSV	Male
Vivian	CB	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Callum Wilson	ST	Right	England	Premier League	Newcastle Utd	Male
Lamine Yamal	RW	Left	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Wilfried Zaha	LM	Right	Côte d'Ivoire	Ligue 1 McDonald's	OL	Male
Piotr Zieliński	CM	Right	Poland	Serie A Enilive	Lombardia FC	Male
Zubimendi	CDM	Right	Spain	LALIGA EA SPORTS	Real Sociedad	Male
Salem Al Dawsari	LM	Right	Saudi Arabia	ROSHN Saudi League	Al Hilal	Male
Ali Al Musrati	CDM	Right	Libya	Trendyol Süper Lig	Beşiktaş	Male
Jordi Alba	LB	Left	Spain	MLS	Inter Miami CF	Male
Toby Alderweireld	CB	Right	Belgium	1A Pro League	Royal Antwerp FC	Male
Joachim Andersen	CB	Right	Denmark	Premier League	Fulham	Male
Benjamin André	CDM	Right	France	Ligue 1 McDonald's	LOSC Lille	Male
Marko Arnautović	ST	Right	Austria	Serie A Enilive	Lombardia FC	Male
Maximilian Arnold	CDM	Left	Germany	Bundesliga	VfL Wolfsburg	Male
Fredrik Aursnes	RB	Right	Norway	Liga Portugal	SL Benfica	Male
Simon Banza	ST	Right	Congo DR	Liga Portugal	SC Braga	Male
